Year,Month,Day,PPOILUSDM
1997,3,1,508.010659345096
1997,4,1,509.470151042915
1997,5,1,508.570744553507
1997,6,1,471.648255582929
1997,7,1,445.02540630697
1997,8,1,444.545157898553
1997,9,1,460.627811590368
1997,10,1,490.541116318705
1997,11,1,493.09355497057
1997,12,1,498.66839625139
1998,1,1,548.631434767721
1998,2,1,595.774316625725
1998,3,1,599.866063057513
1998,4,1,628.882695039262
1998,5,1,643.723706352545
1998,6,1,583.237976264834
1998,7,1,583.586786786787
1998,8,1,589.898124345425
1998,9,1,626.842851888825
1998,10,1,613.45617267702
1998,11,1,616.525423728814
1998,12,1,579.736842105263
1999,1,1,560.56052631579
1999,2,1,484.718018895234
1999,3,1,428.768421052632
1999,4,1,439.736301910627
1999,5,1,398.457894736842
1999,6,1,330.785020658438
1999,7,1,279.581578947368
1999,8,1,308.271052631579
1999,9,1,342.40446362775
1999,10,1,326.073797241815
1999,11,1,315.968841285297
1999,12,1,311.998315656499
2000,1,1,301.789567871993
2000,2,1,277.579808932284
2000,3,1,294.389030712951
2000,4,1,318.140905860989
2000,5,1,283.167092138853
2000,6,1,272.233919359933
2000,7,1,266.543846720707
2000,8,1,257.149248624891
2000,9,1,239.786842105263
2000,10,1,208.457894736842
2000,11,1,215.305665938577
2000,12,1,199.178947368421
2001,1,1,191.788825433587
2001,2,1,185.065003421233
2001,3,1,210.900286849654
2001,4,1,208.963865568334
2001,5,1,194.010526315789
2001,6,1,209.165548275045
2001,7,1,279.628947368421
2001,8,1,312.618421052632
2001,9,1,259.555766092952
2001,10,1,232.094736842105
2001,11,1,281.513157894737
2001,12,1,295.471171811268
2002,1,1,310.3
2002,2,1,296.768506091945
2002,3,1,302.447368421053
2002,4,1,311.147661780573
2002,5,1,337.818421052632
2002,6,1,376
2002,7,1,369.210526315789
2002,8,1,391.507894736842
2002,9,1,369.397368421053
2002,10,1,372.802631578947
2002,11,1,409.973684210526
2002,12,1,433.556146214374
2003,1,1,431.315789473684
2003,2,1,421.517027863777
2003,3,1,390.131578947368
2003,4,1,377.200956937799
2003,5,1,382.119113573407
2003,6,1,390.438596491228
2003,7,1,382.826086956522
2003,8,1,361.942355889724
2003,9,1,374.874686716792
2003,10,1,449.019138755981
2003,11,1,484.628482972136
2003,12,1,478.468899521531
2004,1,1,467.690058479532
2004,2,1,501.609907120743
2004,3,1,520.572082379863
2004,4,1,516.33971291866
2004,5,1,481.135734072022
2004,6,1,408.983253588517
2004,7,1,386.626794258373
2004,8,1,393.709273182957
2004,9,1,401.638755980861
2004,10,1,381.604010025063
2004,11,1,386.666666666667
2004,12,1,370.091533180778
2005,1,1,346.631578947368
2005,2,1,347.565789473684
2005,3,1,374.828375286041
2005,4,1,375.842105263158
2005,5,1,370.157894736842
2005,6,1,369.641148325359
2005,7,1,369.601601199205
2005,8,1,360.276773343493
2005,9,1,369.984515891257
2005,10,1,382.817363253686
2005,11,1,375.965915905651
2005,12,1,368.903885256657
2006,1,1,377.919061133427
2006,2,1,390.633430547115
2006,3,1,383.357839784371
2006,4,1,386.413287706215
2006,5,1,394.519823542927
2006,6,1,386.182190745516
2006,7,1,404.024288411363
2006,8,1,434.480533607149
2006,9,1,416.937544036895
2006,10,1,422.32091252862
2006,11,1,476.743036489659
2006,12,1,528.387848489549
2007,1,1,550.78450381921
2007,2,1,553.752509442535
2007,3,1,566.388111256959
2007,4,1,645.390481904618
2007,5,1,740.614763638899
2007,6,1,748.506251839672
2007,7,1,764.470315506677
2007,8,1,729.564457324347
2007,9,1,745.179984869138
2007,10,1,824.068960832286
2007,11,1,877.612871747668
2007,12,1,883.447756497178
2008,1,1,987.020215570752
2008,2,1,1109.4976702408
2008,3,1,1146.85898052923
2008,4,1,1083.48970644843
2008,5,1,1086.83316209246
2008,6,1,1096.38744565422
2008,7,1,1026.24548726103
2008,8,1,791.76941644964
2008,9,1,667.043491607084
2008,10,1,486.395563108566
2008,11,1,433.138274613001
2008,12,1,442.66337227235
2009,1,1,522.00293019203
2009,2,1,528.713498464696
2009,3,1,557.287771059739
2009,4,1,693.212401100708
2009,5,1,772.385048687789
2009,6,1,690.818417968187
2009,7,1,601.95014544538
2009,8,1,686.790283594875
2009,9,1,636.419863747806
2009,10,1,636.557784902832
2009,11,1,674.329955307001
2009,12,1,727.598664400009
2010,1,1,742.003865958231
2010,2,1,754.31851098769
2010,3,1,793.901139382917
2010,4,1,798.533249805834
2010,5,1,775.566241672249
2010,6,1,764.909333022946
2010,7,1,774.501169427167
2010,8,1,865.229330871734
2010,9,1,884.893042919494
2010,10,1,935.217659661426
2010,11,1,1059.00982246095
2010,12,1,1171.21592825812
2011,1,1,1238.57182207044
2011,2,1,1248.55261174094
2011,3,1,1142.23124195196
2011,4,1,1123.78684415852
2011,5,1,1143.43623728316
2011,6,1,1075.90842453737
2011,7,1,1033.57231533957
2011,8,1,1047.51169150189
2011,9,1,995.17881593662
2011,10,1,914.437416029703
2011,11,1,985.766474625382
2011,12,1,969.07252384964
2012,1,1,1020.53563972811
2012,2,1,1047.68849150072
2012,3,1,1105.74186940845
2012,4,1,1157.44852277015
2012,5,1,1031.12437851623
2012,6,1,927.6276422504
2012,7,1,952.539138657086
2012,8,1,930.614436340847
2012,9,1,879.533980138316
2012,10,1,768.090641601712
2012,11,1,743.12977503119
2012,12,1,713.936122329513
2013,1,1,776.540602794027
2013,2,1,792.38025467019
2013,3,1,771.87090169633
2013,4,1,756.461298988703
2013,5,1,763.381461314682
