Country Name,iso,region,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,BEL,Europe,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.58749643,NA,NA,NA,NA,16.49606572,NA,NA,NA,NA,15.66245122,NA,NA,NA,NA,15.43635146,NA,NA,NA,NA,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847,NA,NA
Belgium,BEL,Europe,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.58749643,NA,NA,NA,NA,16.49606572,NA,NA,NA,NA,15.66245122,NA,NA,NA,NA,15.43635146,NA,NA,NA,NA,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847,NA,NA
Benin,BEN,Sub-Saharan Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2201361,NA,NA,NA,NA,38.07847163,NA,NA,NA,NA,39.77629324,NA,NA,NA,NA,34.3288089,NA,NA,NA,NA,32.39296916,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366,38.99995876,NA,NA
Burkina Faso,BFA,Sub-Saharan Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.01466126,NA,NA,NA,NA,45.10893352,NA,NA,NA,NA,44.88311167,NA,NA,NA,NA,39.33511519,NA,NA,NA,NA,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251,NA,NA
Burkina Faso,BFA,Sub-Saharan Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.01466126,NA,NA,NA,NA,45.10893352,NA,NA,NA,NA,44.88311167,NA,NA,NA,NA,39.33511519,NA,NA,NA,NA,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251,NA,NA
Bangladesh,BGD,South Asia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.59562963,NA,NA,NA,NA,61.80314399,NA,NA,NA,NA,63.0363418,NA,NA,NA,NA,68.87354591,NA,NA,NA,NA,70.76499566,70.2105489,70.79390882,65.64508289,68.3953774,66.96574924,60.12627467,60.84578458,NA,NA
Bulgaria,BGR,Europe,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.55988096,NA,NA,NA,NA,25.49281015,NA,NA,NA,NA,24.08980882,NA,NA,NA,NA,23.26730013,NA,NA,NA,NA,22.75619549,24.30032702,22.64465578,20.99963709,20.74356996,20.77642742,19.28301303,19.14913234,NA,NA
Bahrain,BHR,Middle East and North Africa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.15876158,NA,NA,NA,NA,68.12334942,NA,NA,NA,NA,67.95778934,NA,NA,NA,NA,64.58727578,NA,NA,NA,NA,65.63088097,63.73249929,70.28748254,67.79467818,62.75854371,72.60467743,69.86418236,70.81620768,NA,NA
"Bahamas, The",BHS,Latin America and Caribbean,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01992374,NA,NA,NA,NA,21.2866269,NA,NA,NA,NA,21.31820066,NA,NA,NA,NA,21.06635652,NA,NA,NA,NA,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049,NA,NA
"Bahamas, The",BHS,Latin America and Caribbean,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01992374,NA,NA,NA,NA,21.2866269,NA,NA,NA,NA,21.31820066,NA,NA,NA,NA,21.06635652,NA,NA,NA,NA,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049,NA,NA
"Bahamas, The",BHS,Latin America and Caribbean,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01992374,NA,NA,NA,NA,21.2866269,NA,NA,NA,NA,21.31820066,NA,NA,NA,NA,21.06635652,NA,NA,NA,NA,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049,NA,NA
"Bahamas, The",BHS,Latin America and Caribbean,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.01992374,NA,NA,NA,NA,21.2866269,NA,NA,NA,NA,21.31820066,NA,NA,NA,NA,21.06635652,NA,NA,NA,NA,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049,NA,NA
Bosnia and Herzegovina,BIH,Eastern Europe and Central Asia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.35255781,NA,NA,NA,NA,29.33961391,NA,NA,NA,NA,33.17226018,NA,NA,NA,NA,33.77212107,NA,NA,NA,NA,32.30015609,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709,27.74766896,NA,NA
Bosnia and Herzegovina,BIH,Eastern Europe and Central Asia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.35255781,NA,NA,NA,NA,29.33961391,NA,NA,NA,NA,33.17226018,NA,NA,NA,NA,33.77212107,NA,NA,NA,NA,32.30015609,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709,27.74766896,NA,NA
