mill_name_,latitude,longitude,iso,certificat,group_name
Perlabian Palm Oil Mill - PT Tolan Tiga,4.066667,100.066667,IDN,RSPO Certified,Perlabian POM
PKS Sukajadi Sawit Mekar 1,-2.381111,112.539722,IDN,RSPO Certified,PT Agrowiratama
PKS Sukajadi Sawit Mekar 2,-2.37025,112.602611,IDN,RSPO Certified,PT Agrowiratama
PKS Tunas Baru Lampung,-4.85155,105.183367,IDN,RSPO Certified,PT Tunas Baru Lampung Tbk
Pondok Labu POM,-2.481444,116.512556,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
PT. PRIMA MITRAJAYA MANDIRI-Benua Puhun,-0.295789,116.761014,IDN,RSPO Certified,M.P. Evans Group PLC
PT. Unggul Lestari,-1.595844,112.598831,IDN,RSPO Certified,PT. Unggul Lestari
PT Adei Plantation - Nilo 1 POM,0.348056,101.971667,IDN,RSPO Certified,Kuala Lumpur Kepong Berhad
PT Agro Mitra Madani POM,-1.066667,103.1,IDN,RSPO Certified,PT Bakrie Sumatera Plantations TBK
PT Agronusa Investama (Sambas) - Agronusa Investama POM,1.421389,109.512778,IDN,RSPO Certified,Wilmar International Ltd
PT Agrowiratama POM,0.198959,99.626588,IDN,RSPO Certified,PT Agrowiratama
PT Berkat Sawit Sejati POM,-2.350694,103.748139,IDN,RSPO Certified,PT Berkat Sawit Sejati
PT Bersama Sejahtera Sakti-Gunung Aru POM,-3.5,116.15,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
PT Bhumireksa Nusasejati-Mandah POM,-0.115972,103.549139,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
PT Laguna Mandiri - Betung POM,-2.379167,116.203056,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
PT MAJU ANEKA SAWIT & GAP POM,-2.478167,112.647611,IDN,RSPO Certified,PT Agrowiratama
PT Sarana Titian Permata POM,-2.894444,112.543611,IDN,RSPO Certified,Wilmar International Ltd
Rantau POM,-2.439167,116.114167,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Sei Mangke POM,3.130778,99.343861,IDN,RSPO Certified,PT Perkebunan Nusantara III
Sekunyir POM,-2.360233,111.953942,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Selabak POM (Minamas Plantation),-2.507222,116.206389,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Semilar Mill,2.251725,112.349675,IDN,RSPO Certified,PT Smart Tbk
Semilar Mill,2.248258,112.340431,IDN,RSPO Certified,PT Smart Tbk
Sungai Purun POM,-2.480278,112.443889,IDN,RSPO Certified,PT Agro Indomas
Tanah Laut Mill,3.790278,115.283056,IDN,RSPO Certified,PT Smart Tbk
"Teguh Sempurna, Pemantang POM",-2.210556,112.238056,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Teluk Bakau POM,0.2565,103.588833,IDN,RSPO Certified,Sime Darby Plantation Sdn Bhd
Terawan Mill,-2.559975,112.373611,IDN,RSPO Certified,PT Agro Indomas
Tinjowan POM,3.066667,99.483333,IDN,RSPO Certified,PT Perkebunan Nusantara IV (PERSERO)
Ukui II,0.286667,102.193889,IDN,RSPO Certified,PT Inti Indosawit Subur
Adela POM,1.551917,104.186361,MYS,RSPO Certified,FELDA
Asia POM,5.3,118.21,MYS,RSPO Certified,Carotino/ JC Chang Group
Bornion POM,5.609,118.7899,MYS,RSPO Certified,Kuala Lumpur Kepong Berhad
Bukit Benut POM,1.911667,103.333056,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Bukit Besar POM,1.767831,103.703006,MYS,RSPO Certified,FELDA
Bukit Sagu POM,3.9669,103.1487,MYS,RSPO Certified,FELDA
Carotino POM,3.816974,102.817909,MYS,RSPO Certified,Carotino/ JC Chang Group
Changkat Chermin,4.274361,100.700611,MYS,RSPO Certified,Kuala Lumpur Kepong Berhad
Chersonese POM,4.99,100.453333,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Flemington POM,3.928056,100.857222,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Gomali Oil Mill,1.800522,103.342244,MYS,RSPO Certified,IOI Group
Jendarata Palm Oil Mill (P01),3.866667,101.016667,MYS,RSPO Certified,United Plantations Bhd
Jengka 18 POM,3.590383,102.55915,MYS,RSPO Certified,FELDA
Jengka 21 POM,3.725,102.482222,MYS,RSPO Certified,FELDA
Jengka 3 POM,3.826944,102.530833,MYS,RSPO Certified,FELDA
Jengka 8 POM,3.684444,102.601667,MYS,RSPO Certified,FELDA
Jeroco Palm Oil Mill 1,5.4311,118.417217,MYS,RSPO Certified,Hap Seng Plantations Holdings Bhd
Kemasul POM,3.179845,102.32966,MYS,RSPO Certified,FELDA
KKS Baiduri Ayu,5.1509,119.0066,MYS,RSPO Certified,FELDA
KKS Fajar Harapan,5.1953,119.1892,MYS,RSPO Certified,FELDA
KLK (S) MILL 2,4.46562,118.22367,MYS,RSPO Certified,Kuala Lumpur Kepong Berhad
KLK (S) PINANG POM,4.432593,118.270937,MYS,RSPO Certified,Kuala Lumpur Kepong Berhad
Ladang Sabah Mill,5.07415,117.610383,MYS,RSPO Certified,IOI Group
Lepar Utara 4 POM,3.878967,102.815467,MYS,RSPO Certified,FELDA
Lepar Utara 6 Plam oil Mill,-3.970817,102.691667,MYS,RSPO Certified,FELDA
Lima Blas POM,3.7,101.45,MYS,RSPO Certified,United Plantations Bhd
Lungmanis POM,5.0839,118.5882,MYS,RSPO Certified,Kuala Lumpur Kepong Berhad
Masai Palm Oil Mill,1.540525,103.964953,MYS,RSPO Certified,Keck Seng (Malaysia) Berhad
Mayvin Plam Oil Mill,5.577017,117.235767,MYS,RSPO Certified,IOI Group
Melewar POM,5.271389,118.051944,MYS,RSPO Certified,Carotino/ JC Chang Group
Padang Piol POM,3.921733,102.489533,MYS,RSPO Certified,FELDA
Pagoh Palm Oil Mill,2.083,102.759,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Pamol Sabah,5.9967,117.3912,MYS,RSPO Certified,IOI Group
Ribubonus POM,5.688883,117.092819,MYS,RSPO Certified,PPB Oil Palms Berhad
Rimmer POM,5.0193,118.5715,MYS,RSPO Certified,Kuala Lumpur Kepong Berhad
Sabahmas POM,5.177211,118.405391,MYS,RSPO Certified,PPB Oil Palms Berhad
Sapi POM,5.734146,117.385942,MYS,RSPO Certified,PPB Oil Palms Berhad
Saremas 1 POM,3.525583,113.744128,MYS,RSPO Certified,PPB Oil Palms Berhad
Segaliud Palm Oil Mill,5.72,117.75,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Seri Pelangi POM,3.983333,101.133333,MYS,RSPO Certified,United Plantations Bhd
SOU 12 Jabor POM,3.932,103.304167,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 13 Labu POM,2.748889,101.80475,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
Malmaju Bina,5.1531,100.7306,MYS,None,Unknown
SOU 14 Tanah Merah,2.655303,101.792786,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 15 - Sua Betong POM,2.528333,101.895278,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 19A Yong Peng,2.058808,103.148394,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 19 Nordanal Mill,2.183333,102.733333,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 1 Sungai Dingin,5.4,100.666667,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 20 Chaah,2.178013,102.996577,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 27 (Melalap),5.25,116,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 29 GIRAM,4.583333,118.2,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 30A Jeleta Bumi,4.7046,117.9627,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 30 Merotai POM,4.616667,118.383333,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 31 Lavang POM,3.26024,113.67198,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 32 Rajawali POM,3.40094,113.34773,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 33 Derawan POM,3.390203,113.345417,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 3 Elphil Mill,4.89,101.093611,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
SOU 7 Bukit Kerayong,3.190161,101.37685,MYS,RSPO Certified,Sime Darby Plantation Sdn Bhd
